公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,1974285,2016287,2072570,-2.08,-4.74,23784046,24050722,-1.1
1102,亞泥,1066478,1116753,1006050,-4.5,6.0,11758818,10868073,8.19
1103,嘉泥,112508,94668,84001,18.84,33.93,1284176,877339,46.37
1104,環球水泥,307905,318461,305778,-3.31,0.69,3451724,3325422,3.79
1108,幸福水泥,328224,309670,273250,5.99,20.11,3395238,3195259,6.25
1109,信大水泥,146031,142214,160548,2.68,-9.04,1712097,1538398,11.29
1110,東泥,165428,171133,173302,-3.33,-4.54,1633429,1441845,13.28
1201,味全公司,1209287,1199157,1127058,0.84,7.29,15091089,13833387,9.09
1203,味王公司,169246,146586,181302,15.45,-6.64,1938610,1963885,-1.28
1210,大成長城,2181625,2040013,1993411,6.94,9.44,23608059,23071311,2.32
1213,大飲,43002,43036,51716,-0.07,-16.84,720608,701808,2.67
1215,卜蜂企業,1410676,1325239,1401975,6.44,0.62,15185502,15063586,0.8
1216,統一,3369274,3535395,3687244,-4.69,-8.62,46851580,51925437,-9.77
1217,愛之味,347473,220344,342088,57.69,1.57,3503664,3317757,5.6
1218,泰山企業,658477,730124,695261,-9.81,-5.29,8327620,7770680,7.16
1219,福壽實業,856767,894955,922393,-4.26,-7.11,10286413,10219218,0.65
1220,台榮,222632,228877,235559,-2.72,-5.48,3132450,3116943,0.49
1225,福懋油,1067399,1126473,882361,-5.24,20.97,10894762,9818213,10.96
1227,佳格,1106338,1098390,1323201,0.72,-16.38,12162799,12544265,-3.04
1229,聯華實業,302980,353771,367752,-14.35,-17.61,3936966,4085825,-3.64
1231,聯華食品,482881,400465,623068,20.58,-22.49,5295923,5320323,-0.45
1232,大統益,1428676,1567154,1389819,-8.83,2.79,17530499,16631848,5.4
1233,天仁,178647,171530,189696,4.14,-5.82,2033437,2040532,-0.34
1234,黑松,517445,390411,374715,32.53,38.09,5658957,5416822,4.47
1235,興泰,20288,24158,62232,-16.01,-67.39,314144,381886,-17.73
1236,宏亞食品,286144,274172,324372,4.36,-11.78,2361141,2480767,-4.82
1702,南僑化工,210207,199158,219141,5.54,-4.07,2348219,2333783,0.61
1737,臺鹽,191738,206006,163466,-6.92,17.29,2292435,2296941,-0.19
1301,台塑,13023396,14781874,13912169,-11.89,-6.38,173034804,187603314,-7.76
1303,南亞塑膠,16397131,14816161,16517071,10.67,-0.72,183042918,194021839,-5.65
1304,台聚,799540,769322,1012266,3.92,-21.01,10783826,13228647,-18.48
1305,華夏,641926,697146,719212,-7.92,-10.74,7968147,9217770,-13.55
1307,三芳化工,483840,471735,608310,2.56,-20.46,6873072,7098960,-3.18
1308,亞聚,391359,302902,454032,29.2,-13.8,4790510,6294688,-23.89
1309,台達化工,838741,840992,832954,-0.26,0.69,10151566,10834404,-6.3
1310,台苯,818064,1255009,1272173,-34.81,-35.69,14345781,12874204,11.43
1312,國喬石化,1243261,1213142,1582460,2.48,-21.43,17565301,19430479,-9.59
1313,聯成,574034,521655,616531,10.04,-6.89,7208722,7238527,-0.41
1314,中石化,2896457,2569111,3287396,12.74,-11.89,36893965,42596896,-13.38
1315,達新工業,193299,180453,208156,7.11,-7.13,2265465,2462247,-7.99
1319,東陽,1093230,1191087,1176325,-8.21,-7.06,13000717,12923038,0.6
1321,大洋,441688,429837,377290,2.75,17.06,4901336,5069933,-3.32
1323,永裕,143339,149528,149025,-4.13,-3.81,1689312,1672066,1.03
1324,地球工業,108602,118108,98251,-8.04,10.53,1352901,1551166,-12.78
1325,�琱j,92129,72818,90591,26.51,1.69,882811,1039351,-15.06
1326,台化,26775954,25040187,20952871,6.93,27.79,288024871,280813593,2.56
1339,昭輝,110762,117913,122044,-6.06,-9.24,1157780,1120959,3.28
1715,萬洲化學,384950,393340,459369,-2.13,-16.2,5071579,4752903,6.7
4306,炎洲,416409,459675,407259,-9.41,2.24,5908818,5283312,11.83
1402,遠東新,4825561,4820616,4989265,0.1,-3.28,60682495,61556946,-1.42
1409,新纖,1732899,1547452,2309814,11.98,-24.97,24886760,26745283,-6.94
1410,南染,24076,24307,29539,-0.95,-18.49,337095,367657,-8.31
1413,宏洲纖維,353099,365683,301243,-3.44,17.21,3991844,4315077,-7.49
1414,東和,104533,96776,109709,8.01,-4.71,1421704,1297168,9.6
1416,廣豐,14469,7230,15745,100.12,-8.1,199630,187298,6.58
1417,嘉裕,218040,123816,168604,76.1,29.32,2008738,1371002,46.51
1418,東華,165247,98382,369480,67.96,-55.27,2229081,3078739,-27.59
1419,新紡,60845,111674,91768,-45.51,-33.69,840902,949311,-11.41
1423,利華羊毛,68682,75531,94123,-9.06,-27.02,1041925,1395924,-25.35
1432,大魯閣,456,455,1699,0.21,-73.16,11678,14390,-18.84
1434,福懋興業,2559290,2683084,2959823,-4.61,-13.53,34699312,36235717,-4.24
1439,中和羊毛,52758,57963,56444,-8.97,-6.53,739989,694189,6.59
1440,南紡,1113258,1293522,1408016,-13.93,-20.93,15460848,17184776,-10.03
1441,大東紡織,120433,122991,134007,-2.07,-10.12,1472550,1777283,-17.14
1443,立益紡織,101430,84947,117348,19.4,-13.56,1030161,967769,6.44
1444,力麗,1001138,839185,1051558,19.29,-4.79,14100266,13211272,6.72
1445,大宇紡織,146806,154077,184605,-4.71,-20.47,2044112,2308517,-11.45
1446,宏和,27928,44171,21983,-36.77,27.04,345744,532879,-35.11
1447,力鵬,2408260,1602200,2239308,50.3,7.54,25778409,25401381,1.48
1449,佳和實業,175900,153610,190145,14.51,-7.49,1946851,2137438,-8.91
1451,年興紡織,828737,938946,906714,-11.73,-8.59,11260959,11126784,1.2
1452,宏益,192100,171314,188598,12.13,1.85,2168682,2286355,-5.14
1453,大將,87528,93517,8142,-6.4,975.01,694434,219050,217.02
1454,台富,156121,174000,174643,-10.27,-10.6,2152655,2636567,-18.35
1455,集盛,1413059,1264724,1534419,11.72,-7.9,16996358,18967110,-10.39
1456,怡華,137554,145304,189980,-5.33,-27.59,1840003,2135559,-13.83
1457,宜進,366780,349946,440208,4.81,-16.68,4734743,6033089,-21.52
1459,聯發紡織,298652,252058,311078,18.48,-3.99,3044126,2919014,4.28
1460,宏遠,460457,536564,582627,-14.18,-20.96,6240800,6350453,-1.72
1463,強盛染整,42440,36873,43592,15.09,-2.64,462285,551885,-16.23
1464,得力實業,181349,219758,179363,-17.47,1.1,2153694,1986514,8.41
1465,偉全實業,137046,78859,130507,73.78,5.01,1538095,1898574,-18.98
